symbol,name,sector
HRUM.JK,Harum Energy,Energy
HUMI.JK,,
HYGN.JK,,
IATA.JK,,
IBFN.JK,,
IBOS.JK,,
IBST.JK,,
ICBP.JK,Indofood CBP,Consumer Defensive
ICON.JK,,
IDEA.JK,,
IDPR.JK,,
IFII.JK,,
IFSH.JK,,
IGAR.JK,,
IIKP.JK,,
IKAI.JK,,
IKAN.JK,,
IKBI.JK,,
IKPM.JK,,
IMAS.JK,,
IMJS.JK,,
IMPC.JK,,
INAF.JK,,
INAI.JK,,
INCF.JK,,
INCI.JK,,
INCO.JK,Vale Indonesia,Basic Materials
INDF.JK,Indofood Sukses Makmur,Consumer Defensive
INDO.JK,,
INDR.JK,,
INDS.JK,,
INDX.JK,,
INDY.JK,Indika Energy,Energy
INET.JK,,
INKP.JK,Indah Kiat Pulp & Paper,Basic Materials
INOV.JK,,
INPC.JK,,
INPP.JK,,
INPS.JK,,
INRU.JK,,
INTA.JK,,
INTD.JK,,
INTP.JK,Indocement,Basic Materials
IOTF.JK,,
IPAC.JK,,
IPCC.JK,,
IPCM.JK,,
IPOL.JK,,
IPPE.JK,,
IPTV.JK,,
IRRA.JK,,
IRSX.JK,,
ISAP.JK,,
ISAT.JK,Indosat,Communication
ISEA.JK,,
ISSP.JK,,
ITIC.JK,,
ITMA.JK,,
ITMG.JK,Indo Tambangraya Megah,Energy
JARR.JK,,
JAST.JK,,
JATI.JK,,
JAWA.JK,,
JAYA.JK,,
JECC.JK,,
JGLE.JK,,
JIHD.JK,,
JKON.JK,,
JKSW.JK,,
JMAS.JK,,
JPFA.JK,Japfa Comfeed,Consumer Defensive
JRPT.JK,,
JSKY.JK,,
JSMR.JK,Jasa Marga,Industrials
JSPT.JK,,
JTPE.JK,,
KAEF.JK,Kimia Farma,Healthcare
KARW.JK,,
KAYU.JK,,
KBAG.JK,,
KBLI.JK,,
KBLM.JK,,
KBLV.JK,,
KBRI.JK,,
KDSI.JK,,
KDTN.JK,,
KEEN.JK,,
KEJU.JK,,
KETR.JK,,
KIAS.JK,,
KICI.JK,,
KIJA.JK,,
KING.JK,,
KINO.JK,,
KIOS.JK,,
KJEN.JK,,
KKES.JK,,
KKGI.JK,,
KLAS.JK,,
KLBF.JK,Kalbe Farma,Healthcare
KLIN.JK,,
KMDS.JK,,
KMTR.JK,,
KOBX.JK,,
KOCI.JK,,
KOIN.JK,,
KOKA.JK,,
KONI.JK,,
KOPI.JK,,
KOTA.JK,,
KPAL.JK,,
KPAS.JK,,
KPIG.JK,,
KRAH.JK,,
KRAS.JK,,
KREN.JK,,
KRYA.JK,,
KSIX.JK,,
KUAS.JK,,
LABA.JK,,
LABS.JK,,
LAJU.JK,,
LAND.JK,,
LAPD.JK,,
LCGP.JK,,
LCKM.JK,,
LEAD.JK,,
LFLO.JK,,
LIFE.JK,,
LINK.JK,,
LION.JK,,
LIVE.JK,,
LMAS.JK,,
LMAX.JK,,
LMPI.JK,,
LMSH.JK,,
LOPI.JK,,
LPCK.JK,,
LPGI.JK,,
LPIN.JK,,
LPKR.JK,,
LPLI.JK,,
LPPF.JK,,
LPPS.JK,,
LRNA.JK,,
LSIP.JK,PP London Sumatra,Consumer Defensive
LTLS.JK,,
LUCK.JK,,
LUCY.JK,,
MABA.JK,,
MAGP.JK,,
MAHA.JK,,
MAIN.JK,,
MAMI.JK,,
MAMIP.JK,,
MANG.JK,,
MAPA.JK,,
MAPB.JK,,
MAPI.JK,Mitra Adiperkasa,Consumer Cyclical
MARI.JK,,
MARK.JK,,
MASA.JK,,
MASB.JK,,
MAXI.JK,,
MAYA.JK,,
MBAP.JK,,
MBMA.JK,,
MBSS.JK,,
MBTO.JK,,
MCAS.JK,,
MCOL.JK,,
MCOR.JK,,
MDIA.JK,,
MDIY.JK,,
MDKA.JK,Merdeka Copper Gold,Basic Materials
MDKI.JK,,
MDLN.JK,,
MDRN.JK,,
MEDC.JK,Medco Energi,Energy
MEDS.JK,,
MEGA.JK,,
MEJA.JK,,
MENN.JK,,
MERK.JK,,
META.JK,,
MFIN.JK,,
MFMI.JK,,
MGLV.JK,,
MGNA.JK,,
MGRO.JK,,
MHKI.JK,,
MICE.JK,,
MIDI.JK,,
MIKA.JK,Mitra Keluarga Karyasehat,Healthcare
MINA.JK,,
MIRA.JK,,
MITI.JK,,
MKAP.JK,,
MKNT.JK,,
MKPI.JK,,
MKTR.JK,,
MLBI.JK,,
MLIA.JK,,
MLPL.JK,,
MLPT.JK,,
MMIX.JK,,
MMLP.JK,,
MNCN.JK,Media Nusantara Citra,Communication
MOLI.JK,,
MORA.JK,,
MPIX.JK,,
MPMX.JK,,
MPOW.JK,,
MPPA.JK,,
MPRO.JK,,
MPXL.JK,,
MRAT.JK,,
MREI.JK,,
MSIE.JK,,
MSIN.JK,,
MSJA.JK,,
MSKY.JK,,
MSTI.JK,,
MTDL.JK,,
MTEL.JK,,
MTFN.JK,,
MTLA.JK,,
MTMH.JK,,
MTPS.JK,,
MTRA.JK,,
MTSM.JK,,
MTWI.JK,,
MUTU.JK,,
MYOH.JK,,
MYOR.JK,Mayora Indah,Consumer Defensive
MYRX.JK,,
MYRXP.JK,,
MYTX.JK,,
NAIK.JK,,
NANO.JK,,
NASA.JK,,
NASI.JK,,
NATO.JK,,
NAYZ.JK,,
NCKL.JK,,
NELY.JK,,
NEST.JK,,
NETV.JK,,
NFCX.JK,,
NICE.JK,,
NICK.JK,,
NICL.JK,,
NIKL.JK,,
NINE.JK,,
NIPS.JK,,
NIRO.JK,,
NISP.JK,,
NOBU.JK,,
NPGF.JK,,
NRCA.JK,,
NSSS.JK,,
NTBK.JK,,
NUSA.JK,,
NZIA.JK,,
OASA.JK,,
OBAT.JK,,
OBMD.JK,,
OCAP.JK,,
OILS.JK,,
OKAS.JK,,
OLIV.JK,,
OMED.JK,,
OMRE.JK,,
OPMS.JK,,
PACK.JK,,
PADA.JK,,
PADI.JK,,
PALM.JK,,
PAMG.JK,,
PANI.JK,Pantai Indah Kapuk Dua,Real Estate
PANR.JK,,
PANS.JK,,
PART.JK,,
PBID.JK,,
PBRX.JK,,
PBSA.JK,,
PCAR.JK,,
PDES.JK,,
PDPP.JK,,
PEGE.JK,,
PEHA.JK,,
PEVE.JK,,
PGAS.JK,Perusahaan Gas Negara,Energy
PGEO.JK,,
PGJO.JK,,
PGLI.JK,,
PGUN.JK,,
PICO.JK,,
PIPA.JK,,
PJAA.JK,,
PKPK.JK,,
PLAN.JK,,
PLAS.JK,,
PLIN.JK,,
PMJS.JK,,
PMMP.JK,,
PNBN.JK,,
PNBS.JK,,
PNGO.JK,,
PNIN.JK,,
PNLF.JK,Panin Financial,Financials
PNSE.JK,,
POLA.JK,,
POLI.JK,,
POLL.JK,,
POLU.JK,,
POLY.JK,,
POOL.JK,,
PORT.JK,,
POSA.JK,,
POWR.JK,Cikarang Listrindo,Utilities
PPGL.JK,,
PPRE.JK,,
PPRI.JK,,
PPRO.JK,,
PRAS.JK,,
PRAY.JK,,
PRDA.JK,,
PRIM.JK,,
PSAB.JK,,
PSDN.JK,,
PSGO.JK,,
PSKT.JK,,
PSSI.JK,,
PTBA.JK,Bukit Asam,Energy
PTDU.JK,,
PTIS.JK,,
PTMP.JK,,
PTMR.JK,,
PTPP.JK,PP (Persero),Industrials
PTPS.JK,,
PTPW.JK,,
PTRO.JK,,
PTSN.JK,,
PTSP.JK,,
